City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
184,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
186,Ogulin,HR,68.29,clear sky,45.2661,15.2286,Hotel Frankopan
189,Aklavik,CA,70.32,scattered clouds,68.2191,-135.0107,Aklavik Inn
190,Ilhabela,BR,64.29,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
191,Mogadishu,SO,76.98,overcast clouds,2.0371,45.3438,Hotel Juba
192,Pokrovsk,UA,60.67,clear sky,48.282,37.1758,Druzhba
194,Yellowknife,CA,63.32,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
196,Port Huron,US,71.15,overcast clouds,42.9709,-82.4249,Fairfield Inn by Marriott Port Huron
200,San Patricio,US,84.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
203,Xai-Xai,MZ,60.96,light rain,-25.0519,33.6442,Complexo da Familia
206,Progress,US,69.44,clear sky,40.2851,-76.8314,Hilton Garden Inn Harrisburg East
209,Sao Filipe,CV,73.71,few clouds,14.8961,-24.4956,Hotel Xaguate
211,Kindersley,CA,68.52,clear sky,51.4668,-109.1682,Kindersley Inn
213,Auki,SB,83.39,scattered clouds,-8.7676,160.7034,Auki Motel
217,Rafraf,TN,71.91,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
221,Zhangjiakou,CN,80.65,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
223,Okha,RU,66.38,broken clouds,53.5739,142.9478,Империя
225,Deputatskiy,RU,63.39,overcast clouds,69.3,139.9,Baza Otdykha
228,Hobyo,SO,76.77,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
230,Chama,CH,68.61,light rain,47.1821,8.4636,City Garden Hotel
233,Arraial Do Cabo,BR,68.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
234,Saint-Pierre,RE,65.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
237,Dawei,MM,77.95,light rain,14.0833,98.2,Hotel Dawei
239,Imbituba,BR,62.49,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
