City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Waipawa,NZ,-41.4122,175.5153,56.03,67,0,6.08,clear sky
174,Pacific Grove,US,36.6177,-121.9166,70.81,86,75,4.0,broken clouds
175,Galle,LK,6.0367,80.217,80.08,85,55,11.72,broken clouds
176,Iskateley,RU,67.6803,53.1512,46.8,65,100,5.32,overcast clouds
177,Belem De Sao Francisco,BR,-8.7539,-38.9658,67.3,76,4,13.13,clear sky
178,Cabo San Lucas,MX,22.8909,-109.9124,90.81,73,0,5.99,clear sky
179,Aripuana,BR,-9.1667,-60.6333,74.68,49,24,1.99,few clouds
180,Vila Velha,BR,-20.3297,-40.2925,64.35,88,90,4.61,overcast clouds
181,Sankt Valentin,AT,48.1667,14.5167,61.83,82,0,3.2,clear sky
182,Guerrero Negro,MX,27.9769,-114.0611,70.7,81,69,14.83,broken clouds
183,Alta,NO,69.9689,23.2717,49.26,70,75,8.01,broken clouds
184,Noumea,NC,-22.2763,166.4572,82.38,77,2,7.63,clear sky
185,Khatanga,RU,71.9667,102.5,58.77,52,99,5.97,overcast clouds
186,Ogulin,HR,45.2661,15.2286,68.29,84,7,2.15,clear sky
187,Gryazovets,RU,58.88,40.2525,46.24,88,53,4.45,broken clouds
188,Hofn,IS,64.2539,-15.2082,53.4,99,100,5.79,overcast clouds
189,Aklavik,CA,68.2191,-135.0107,70.32,30,38,5.48,scattered clouds
190,Ilhabela,BR,-23.7781,-45.3581,64.29,89,11,5.26,few clouds
191,Mogadishu,SO,2.0371,45.3438,76.98,82,100,24.72,overcast clouds
192,Pokrovsk,UA,48.282,37.1758,60.67,64,0,4.5,clear sky
193,Puerto Escondido,MX,15.85,-97.0667,85.03,65,90,0.0,overcast clouds
194,Yellowknife,CA,62.456,-114.3525,63.32,100,75,0.0,light intensity shower rain
195,Rawah,IQ,34.4816,41.9093,85.39,39,0,9.37,clear sky
196,Port Huron,US,42.9709,-82.4249,71.15,60,90,3.44,overcast clouds
197,Rey Bouba,CM,8.6724,14.1786,72.41,97,100,2.8,overcast clouds
198,Montrose,US,38.4166,-108.2673,60.37,78,90,6.87,overcast clouds
199,Nanakuli,US,21.3906,-158.1547,87.75,56,75,9.22,broken clouds
200,San Patricio,US,28.017,-97.5169,84.29,77,0,13.22,clear sky
201,Churapcha,RU,62.0025,132.4325,64.51,73,100,13.91,overcast clouds
202,Opuwo,NA,-18.0607,13.84,49.55,12,0,8.66,clear sky
203,Xai-Xai,MZ,-25.0519,33.6442,60.96,73,100,15.88,light rain
204,Kununurra,AU,-15.7667,128.7333,89.58,25,76,9.22,broken clouds
205,Slonim,BY,53.0867,25.3219,57.04,92,38,3.58,scattered clouds
206,Progress,US,40.2851,-76.8314,69.44,79,1,0.0,clear sky
207,Richards Bay,ZA,-28.783,32.0377,55.89,56,100,13.85,light rain
208,Clyde River,CA,70.4692,-68.5914,33.64,84,8,3.47,clear sky
209,Sao Filipe,CV,14.8961,-24.4956,73.71,75,16,9.89,few clouds
210,Manado,ID,1.487,124.8455,93.97,46,20,5.75,few clouds
211,Kindersley,CA,51.4668,-109.1682,68.52,32,2,8.84,clear sky
212,Faya,SA,18.3851,42.4509,59.52,63,100,3.8,overcast clouds
213,Auki,SB,-8.7676,160.7034,83.39,75,38,1.54,scattered clouds
214,Nanortalik,GL,60.1432,-45.2371,41.97,90,74,10.87,broken clouds
215,Adrar,MR,20.5022,-10.0711,87.85,22,51,13.15,broken clouds
216,Kjollefjord,NO,70.9457,27.3465,44.91,87,100,32.17,overcast clouds
217,Rafraf,TN,37.1904,10.1837,71.91,64,0,8.32,clear sky
218,Malanje,AO,-9.5402,16.341,58.24,32,41,4.43,scattered clouds
219,Mecca,SA,21.4267,39.8261,86.95,37,97,3.98,overcast clouds
220,Olafsvik,IS,64.8945,-23.7142,52.5,98,100,10.36,overcast clouds
221,Zhangjiakou,CN,40.81,114.8794,80.65,60,82,4.59,broken clouds
222,Mirabad,AF,30.4362,61.8383,93.92,12,0,10.22,clear sky
223,Okha,RU,53.5739,142.9478,66.38,84,77,12.35,broken clouds
224,Sur,OM,22.5667,59.5289,89.6,60,86,11.65,overcast clouds
225,Deputatskiy,RU,69.3,139.9,63.39,48,89,10.47,overcast clouds
226,Bang Saphan,TH,11.2126,99.5117,86.95,74,100,9.57,light rain
227,Talaya,RU,61.3833,152.75,57.45,82,100,4.79,overcast clouds
228,Hobyo,SO,5.3505,48.5268,76.77,80,18,25.97,few clouds
229,Beloha,MG,-25.1667,45.05,62.65,54,99,8.28,overcast clouds
230,Chama,CH,47.1821,8.4636,68.61,84,75,0.0,light rain
231,Chokurdakh,RU,70.6333,147.9167,48.78,57,98,14.43,overcast clouds
